Assay #,Volume WT (Int)
7,27022653
23,30057900
33,31322631
9,36974948
27,38286288
2,38997126
41,39763386
21,43022080
28,43912044
30,44991520
25,48009429
15,49072452
11,50095032
40,52220328
26,52579872
24,52942080
4,53038748
6,53045694
31,53414960
14,54326240
36,54577812
29,56234320
20,57054340
23,57482533
12,59891120
13,60139840
44,60917268
16,62456775
8,62615280
17,66011215
42,66577680
37,70072880
45,71931452
39,76107178
47,76983114
10,77073901
34,84224823
38,85568720
35,88817409
43,94619850
46,96079405
3,104067680
32,174406538
48,108711408
49,108689040
50,128232405
51,42647290
,
53,171978438
54,202421380
55,84272101
56,78509920
